age,gender,race,pred,s,agegroup,gender_female,gender_male,race_20170109142408075.jpg.chip.jpg,race_Asian,race_Black,race_Indian,race_Others,race_White,agegroup_0-4,agegroup_5-17,agegroup_18-24,agegroup_25-34,agegroup_35-44,agegroup_45-64,agegroup_65-84,agegroup_85-99,agegroup_100-119
1,male,White,0.12801271677017212,0.8719872832298279,0-4,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
39,female,White,28.200042724609375,10.799957275390625,35-44,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
53,female,Indian,34.90876770019531,18.091232299804688,45-64,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
36,female,Indian,44.994102478027344,8.994102478027344,35-44,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
30,female,White,28.281442642211914,1.718557357788086,25-34,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
63,female,White,49.546539306640625,13.453460693359375,45-64,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
25,female,Indian,19.156103134155273,5.843896865844727,25-34,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
29,female,White,26.568025588989258,2.431974411010742,25-34,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
55,male,Black,54.68971633911133,0.3102836608886719,45-64,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
34,male,White,29.398183822631836,4.601816177368164,25-34,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
17,female,White,28.198749542236328,11.198749542236328,5-17,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
26,female,Black,25.08347511291504,0.9165248870849609,25-34,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
63,female,White,52.92638397216797,10.073616027832031,45-64,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
26,female,Black,24.603422164916992,1.3965778350830078,25-34,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
1,male,Asian,0.04236334562301636,0.9576366543769836,0-4,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
30,male,Black,24.81427764892578,5.185722351074219,25-34,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
16,male,White,21.1291561126709,5.129156112670898,5-17,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
25,male,Black,21.5832462310791,3.4167537689208984,25-34,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
26,male,White,29.53252601623535,3.5325260162353516,25-34,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
54,female,Black,39.79572677612305,14.204273223876953,45-64,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
17,female,Others,18.31978416442871,1.319784164428711,5-17,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False
28,male,White,31.781328201293945,3.7813282012939453,25-34,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
24,male,Asian,25.55992317199707,1.5599231719970703,18-24,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1,male,White,0.7915998697280884,0.20840013027191162,0-4,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
1,female,White,-0.5765913128852844,1.5765913128852844,0-4,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
73,male,White,60.83253860473633,12.167461395263672,65-84,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
35,male,White,30.43801498413086,4.561985015869141,35-44,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
22,female,Indian,30.47002601623535,8.470026016235352,18-24,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False
29,male,Indian,30.791494369506836,1.791494369506836,25-34,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
25,male,White,22.051496505737305,2.9485034942626953,25-34,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
57,male,White,62.55242156982422,5.552421569824219,45-64,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
24,female,Others,20.15418243408203,3.8458175659179688,18-24,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
55,male,White,37.898460388183594,17.101539611816406,45-64,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
4,male,White,5.400174617767334,1.400174617767334,0-4,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
23,male,Asian,29.36216163635254,6.362161636352539,18-24,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
24,female,Asian,22.566566467285156,1.4334335327148438,18-24,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
21,female,Black,25.506181716918945,4.506181716918945,18-24,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
54,female,Asian,30.67447853088379,23.32552146911621,45-64,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
12,female,White,15.090177536010742,3.090177536010742,5-17,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False
42,male,Indian,32.34916305541992,9.650836944580078,35-44,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
23,female,White,23.734220504760742,0.7342205047607422,18-24,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False
36,female,Black,38.118896484375,2.118896484375,35-44,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
74,male,White,76.10960388183594,2.1096038818359375,65-84,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
26,male,White,31.371761322021484,5.371761322021484,25-34,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
1,female,Others,1.588346242904663,0.5883462429046631,0-4,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False
78,female,Asian,55.26103973388672,22.73896026611328,65-84,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
26,female,Black,36.90599060058594,10.905990600585938,25-34,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
30,female,Asian,27.345108032226562,2.6548919677734375,25-34,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
26,male,White,24.623247146606445,1.3767528533935547,25-34,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
26,male,Indian,35.296504974365234,9.296504974365234,25-34,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
33,female,White,38.019020080566406,5.019020080566406,25-34,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
27,male,Others,30.511661529541016,3.5116615295410156,25-34,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
49,male,Others,45.77452850341797,3.2254714965820312,45-64,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
4,male,Indian,2.4536681175231934,1.5463318824768066,0-4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False
58,male,White,52.546077728271484,5.453922271728516,45-64,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
12,female,Asian,16.89635467529297,4.896354675292969,5-17,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
73,male,Indian,62.328880310058594,10.671119689941406,65-84,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
21,female,Others,20.281816482543945,0.7181835174560547,18-24,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
26,female,Asian,20.878786087036133,5.121213912963867,25-34,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
40,male,Asian,28.20845603942871,11.791543960571289,35-44,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
60,male,Black,61.44892501831055,1.4489250183105469,45-64,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
99,female,White,71.0485610961914,27.951438903808594,85-99,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2,male,Asian,3.0493602752685547,1.0493602752685547,0-4,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
21,female,Black,31.695730209350586,10.695730209350586,18-24,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
32,male,Asian,28.851465225219727,3.1485347747802734,25-34,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False
69,female,White,64.34233856201172,4.657661437988281,65-84,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
